,Primary Satellite Name,Secondary Satellite Name(s),Position,NORAD ID,Beacons
0,H2SAT,HEINRICH HERTZ, 0° E (0.5° E),57213," 2285.973, 10951 RHCP, 10953.5 V, 20199.7 LHCP"
1,BULGARIASAT-1,, 2° E (1.9° E),42801,  
2,EUTELSAT 3B,E3B, 3° E (3° E),39773," 11200.2, 11699.8 RHCP or LHCP"
3,EUTELSAT KONNECT VHTS,, 3° E (3° E),53765," 11701.60 RHCP, 11704.00 RHCP, 11698.20 RHCP, 11699.00 RHCP"
4,RASCOM 1R,RASCOM-QAF 1R, 3° E (2.8° E),36831,  
5,ASTRA 4A,SIRIUS 4, 5° E (4.8° E),32299," 11702.5V, 12498.5H"
6,SES-5,"SIRIUS 5, ASTRA 4B", 5° E (5° E),38652," 3623V, 11698.25, 11699.875, 11700.25, 11703.30"
7,EUTELSAT 7B,"E7B, EUTELSAT 3D, E3D, W3D, EUTELSAT W3D", 7° E (7° E),39163," 11201.4H, 11698.6H, 12500.5H"
8,EUTELSAT 7C,, 7° E (7° E),44334," 11199.0, 11200.6, 11698.2, 11699.0 LHCP"
9,EUTELSAT KONNECT,BB4A, 7° E (7.2° E),45027," 11701.6 LHCP, 11704 LHCP"
10,EUTELSAT 9B,"E9B, EDRS-A", 9° E (9° E),41310,  
11,EUTELSAT KA-SAT 9A,"KASAT, KA-SAT", 9° E (9° E),37258," 19680H, 11700.4H, 11701.6H"
12,EUTELSAT 10A,"E10A, W2A, EUTELSAT W2A", 10° E (10° E),34710," 10950.20H, 11699.82H, 12501.00H, 12501.50V"
13,ECHOSTAR 21,"ECHOSTAR T2, TERRESTAR 2", 10° E (10° E),42749," 18.697 RHCP, 18.699 RHCP"
14,EUTELSAT 10B,E10B, 10° E (10° E),54259,  
15,INMARSAT GX5,"INMARSAT 5F5, I5F5, GX5", 11° E (11° E),44801,  
16,EUTELSAT HOT BIRD 13F,"EUTELSAT HOT BIRD 13F, HB13F", 13° E (13° E),54048,  
17,EUTELSAT HOT BIRD 13G,"EUTELSAT HOT BIRD 13G, HB13G", 13° E (13° E),54225," 11702.4, 11705.3, 12501.0, 12502.4"
