,0,1
0,,
1,"['https://satbeams.com/images/footprints/2E-Ku-Balkan.jpg', 'https://satbeams.com/images/footprints/2E-Ku-Europe.jpg']","['Ku-band Balkan beam (active)', 'Ku-band Europe beam (active)']"
2,"['https://satbeams.com/images/footprints/3E-C-GlobalB.jpg', 'https://satbeams.com/images/footprints/3E-Ku-EasternB.jpg', 'https://satbeams.com/images/footprints/3E-Ku-EuropeB.jpg', 'https://satbeams.com/images/footprints/3E-Ku-SteerableB.jpg', 'https://satbeams.com/images/footprints/3E-Ka-Spot1.jpg', 'https://satbeams.com/images/footprints/3E-Ka-Spot2.jpg', 'https://satbeams.com/images/footprints/3E-Ka-Spot3.jpg', 'https://satbeams.com/images/footprints/3E-Ka-Spot4.jpg']","['C-band Global beam (active)', 'Ku-band Eastern beam (active)', 'Ku-band Europe beam (active)', 'Ku-band Steerable (provisional) beam (active)', 'Ka-band Spot 1 beam (active)', 'Ka-band Spot 2 beam (active)', 'Ka-band Spot 3 beam (active)', 'Ka-band Spot 4 beam (active)']"
3,[],[]
4,"['https://satbeams.com/images/footprints/3E-C-C1R.jpg', 'https://satbeams.com/images/footprints/3E-Ku-North1R.jpg', 'https://satbeams.com/images/footprints/3E-Ku-South1R.jpg']","['C-band Continental beam (active)', 'Ku-band Northern beam (active)', 'Ku-band Southern beam (active)']"
5,"['https://satbeams.com/images/footprints/5E-Ku-Africa.jpg', 'https://satbeams.com/images/footprints/5E-Ku-Europe4.jpg', 'https://satbeams.com/images/footprints/5E-Ku-EuropeFSS.jpg', 'https://satbeams.com/images/footprints/5E-Ku-Nordic4.jpg', 'https://satbeams.com/images/footprints/5E-Ku-NordicFSS.jpg', 'https://satbeams.com/images/footprints/5E-Ka-Interactive.jpg', 'https://satbeams.com/images/footprints/5E-Ka-Europe.jpg']","['Ku-band Africa FSS Beam (active)', 'Ku-band Europe BSS Beam (active)', 'Ku-band Europe FSS Beam (active)', 'Ku-band Nordic BSS Beam (active)', 'Ku-band Nordic FSS Beam (active)', 'Ka-band Europe Interactive Beam (active)', 'Ka-band Europe Interconnect Beam (active)']"
6,"['https://satbeams.com/images/footprints/5E-C-Global.jpg', 'https://satbeams.com/images/footprints/5E-C-WH.jpg', 'https://satbeams.com/images/footprints/5E-Ku-Nordic.jpg', 'https://satbeams.com/images/footprints/5E-Ku-SSA.jpg']","['C-band Global beam (active)', 'C-band West Hemi beam (active)', 'Ku-band Nordic beam (active)', 'Ku-band SSA beam (active)']"
7,"['https://satbeams.com/images/footprints/7E-Ku-AfricaB.jpg', 'https://satbeams.com/images/footprints/7E-Ku-EuropeA.jpg', 'https://satbeams.com/images/footprints/7E-Ku-EuropeB.jpg', 'https://satbeams.com/images/footprints/7E-Ku-SEAfrica.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EuropeC.jpg']","['Ku-band Africa beam (active)', 'Ku-band Europe A beam (active)', 'Ku-band Europe B beam (active)', 'Ku-band South East Africa beam (active)', 'Ka-band Europe C beam (active)']"
8,"['https://satbeams.com/images/footprints/7E-Ku-Africa7C.jpg', 'https://satbeams.com/images/footprints/7E-Ku-East7C.jpg', 'https://satbeams.com/images/footprints/7E-Ku-Steerable7C.jpg', 'https://satbeams.com/images/footprints/7E-Ku-West7C.jpg']","['Ku-band Africa beam (active)', 'Ku-band East beam (active)', 'Ku-band Steerable beam (active)', 'Ku-band West beam (active)']"
9,"['https://satbeams.com/images/footprints/7E-Ka-AF01.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF02.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF03.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF04.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF05.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF06.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF07.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF08.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF09.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF10.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF11.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF12.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF13.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF14.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF15.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF16.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF17.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF18.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF19.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF20.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF21.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF22.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF23.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF24.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF25.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF26.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF27.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF28.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF29.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF30.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF31.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF32.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF33.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF34.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF35.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF36.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF37.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF38.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF39.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF40.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF41.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF42.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF43.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF44.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF45.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF46.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF47.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF48.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF49.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF50.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF51.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF52.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF53.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF54.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF55.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF56.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF57.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF58.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF59.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF60.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF61.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF62.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF63.jpg', 'https://satbeams.com/images/footprints/7E-Ka-AF64.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU01.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU02.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU03.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU04.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU05.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU06.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU07.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU08.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU09.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU10.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU11.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU12.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU13.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU14.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU15.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU16.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU17.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU18.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU19.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU20.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU21.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU22.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU23.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU24.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU25.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU26.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU27.jpg', 'https://satbeams.com/images/footprints/7E-Ka-EU28.jpg']","['Ka-band AF01 User Spot beam (active)', 'Ka-band AF02 User Spot beam (active)', 'Ka-band AF03 User Spot beam (active)', 'Ka-band AF04 User Spot beam (active)', 'Ka-band AF05 User Spot beam (active)', 'Ka-band AF06 User Spot beam (active)', 'Ka-band AF07 User Spot beam (active)', 'Ka-band AF08 User Spot beam (active)', 'Ka-band AF09 User Spot beam (active)', 'Ka-band AF10 User Spot beam (active)', 'Ka-band AF11 User Spot beam (active)', 'Ka-band AF12 User Spot beam (active)', 'Ka-band AF13 User Spot beam (active)', 'Ka-band AF14 User Spot beam (active)', 'Ka-band AF15 User Spot beam (active)', 'Ka-band AF16 User Spot beam (active)', 'Ka-band AF17 User Spot beam (active)', 'Ka-band AF18 User Spot beam (active)', 'Ka-band AF19 User Spot beam (active)', 'Ka-band AF20 User Spot beam (active)', 'Ka-band AF21 User Spot beam (active)', 'Ka-band AF22 User Spot beam (active)', 'Ka-band AF23 User Spot beam (active)', 'Ka-band AF24 User Spot beam (active)', 'Ka-band AF25 User Spot beam (active)', 'Ka-band AF26 User Spot beam (active)', 'Ka-band AF27 User Spot beam (active)', 'Ka-band AF28 User Spot beam (active)', 'Ka-band AF29 User Spot beam (active)', 'Ka-band AF30 User Spot beam (active)', 'Ka-band AF31 User Spot beam (active)', 'Ka-band AF32 User Spot beam (active)', 'Ka-band AF33 User Spot beam (active)', 'Ka-band AF34 User Spot beam (active)', 'Ka-band AF35 User Spot beam (active)', 'Ka-band AF36 User Spot beam (active)', 'Ka-band AF37 User Spot beam (active)', 'Ka-band AF38 User Spot beam (active)', 'Ka-band AF39 User Spot beam (active)', 'Ka-band AF40 User Spot beam (active)', 'Ka-band AF41 User Spot beam (active)', 'Ka-band AF42 User Spot beam (active)', 'Ka-band AF43 User Spot beam (active)', 'Ka-band AF44 User Spot beam (active)', 'Ka-band AF45 User Spot beam (active)', 'Ka-band AF46 User Spot beam (active)', 'Ka-band AF47 User Spot beam (active)', 'Ka-band AF48 User Spot beam (active)', 'Ka-band AF49 User Spot beam (active)', 'Ka-band AF50 User Spot beam (active)', 'Ka-band AF51 User Spot beam (active)', 'Ka-band AF52 User Spot beam (active)', 'Ka-band AF53 User Spot beam (active)', 'Ka-band AF54 User Spot beam (active)', 'Ka-band AF55 User Spot beam (active)', 'Ka-band AF56 User Spot beam (active)', 'Ka-band AF57 User Spot beam (active)', 'Ka-band AF58 User Spot beam (active)', 'Ka-band AF59 User Spot beam (active)', 'Ka-band AF60 User Spot beam (active)', 'Ka-band AF61 User Spot beam (active)', 'Ka-band AF62 User Spot beam (active)', 'Ka-band AF63 User Spot beam (active)', 'Ka-band AF64 User Spot beam (active)', 'Ka-band EU01 User Spot beam (active)', 'Ka-band EU02 User Spot beam (active)', 'Ka-band EU03 User Spot beam (active)', 'Ka-band EU04 User Spot beam (active)', 'Ka-band EU05 User Spot beam (active)', 'Ka-band EU06 User Spot beam (active)', 'Ka-band EU07 User Spot beam (active)', 'Ka-band EU08 User Spot beam (active)', 'Ka-band EU09 User Spot beam (active)', 'Ka-band EU10 User Spot beam (active)', 'Ka-band EU11 User Spot beam (active)', 'Ka-band EU12 User Spot beam (active)', 'Ka-band EU13 User Spot beam (active)', 'Ka-band EU14 User Spot beam (active)', 'Ka-band EU15 User Spot beam (active)', 'Ka-band EU16 User Spot beam (active)', 'Ka-band EU17 User Spot beam (active)', 'Ka-band EU18 User Spot beam (active)', 'Ka-band EU19 User Spot beam (active)', 'Ka-band EU20 User Spot beam (active)', 'Ka-band EU21 User Spot beam (active)', 'Ka-band EU22 User Spot beam (active)', 'Ka-band EU23 User Spot beam (active)', 'Ka-band EU24 User Spot beam (active)', 'Ka-band EU25 User Spot beam (active)', 'Ka-band EU26 User Spot beam (active)', 'Ka-band EU27 User Spot beam (active)', 'Ka-band EU28 User Spot beam (active)']"
