NORAD ID,COSPAR ID,Name,Additional names,Launch date,Flight ended,Status,Destination,Owner
19548,1988-091B,TDRS 3,,28-Sep-88,,Operational,,United States
20253,1989-077A,FLTSATCOM 8,USA 46,24-Sep-89,,Operational,,United States
20776,1990-079A,SKYNET 4C,,29-Aug-90,,Operational,,United Kingdom
21639,1991-054B,TDRS 5,,1-Aug-91,,Operational,,United States
22314,1993-003B,TDRS 6,,13-Jan-93,,Operational,,United States
22787,1993-056A,UFO 2,USA 95,2-Sep-93,,Operational,,United States
22988,1994-009A,USA 99,MILSTAR-1 1,7-Feb-94,,Operational,,United States
23467,1995-003A,UFO 4,USA 108,29-Jan-95,,Operational,,United States
23553,1995-019A,AMSC 1,MSAT M2,6-Apr-95,,Operational,,United States
23613,1995-035B,TDRS 7,,12-Jul-95,,Operational,,United States
23712,1995-060A,USA 115,MILSTAR-1 2,6-Nov-95,,Operational,,United States
23839,1996-020A,INMARSAT 3-F1,,2-Apr-96,,Operational,,International Mobile Satellite Organization (INMARSAT)
24307,1996-053A,INMARSAT 3-F2,,5-Sep-96,,Operational,,International Mobile Satellite Organization (INMARSAT)
24674,1996-070A,INMARSAT 3-F3,,18-Dec-96,,Operational,,International Mobile Satellite Organization (INMARSAT)
24812,1997-026A,GALAXY 25,G-25; IA-5; TELSTAR 5; INTELSAT AMERICAS 5,23-May-97,,Partially operational,,United States
24916,1997-046A,INTELSAT 5,IS-5; PAS-5; ARABSAT 2C; BADR-C,27-Aug-97,,Operational,,United States
24936,1997-050A,AMC-3,GE-3,3-Sep-97,,Operational,,SES
25019,1997-065A,USA 134,DSCS-3 B13,24-Oct-97,,Operational,,United States
25153,1998-006B,INMARSAT 3-F5,,4-Feb-98,,Operational,,International Mobile Satellite Organization (INMARSAT)
25462,1998-050A,ASTRA 2A,,29-Aug-98,,Operational,,SES
25639,1999-009B,SKYNET 4E,,26-Feb-99,,Operational,,United Kingdom
25924,1999-053A,ABS-6,LMI 1,25-Sep-99,,Operational,,Asia Broadcast Satellite
25967,1999-063A,UFO 10,USA 146,23-Nov-99,,Operational,,United States
26038,1999-071A,GALAXY 11,G-11,22-Dec-99,,Operational,,United States
26052,2000-001A,USA 148,DSCS-3 B8,21-Jan-00,,Operational,,United States
26107,2000-016A,ASIASTAR,,21-Mar-00,,Operational,,United States
26356,2000-024A,USA 149,DSP 20,7-May-00,,Operational,,United States
26388,2000-034A,TDRS 8,,29-Jun-00,,Operational,,United States
26451,2000-043A,INTELSAT 9,IS-9; PAS-9,27-Jul-00,,Operational,,United States
26554,2000-059A,NSS-11,AAP-1; GE-1A,30-Sep-00,,Operational,,SES
26575,2000-065A,USA 153,DSCS-3 B11,19-Oct-00,,Operational,,United States
26580,2000-067A,AMC-6,GE-6,20-Oct-00,,Operational,,SES
26608,2000-072A,INTELSAT 1R,IS-1R; PAS-1R,16-Nov-00,,Operational,,United States
26624,2000-076A,ANIK F1,,21-Nov-00,,Operational,,Canada
26715,2001-009A,USA 157,MILSTAR-2 2,27-Feb-01,,Operational,,United States
26766,2001-019A,INTELSAT 10,IS-10; PAS-10,14-May-01,,Operational,,United States
26824,2001-024A,INTELSAT 901,IS-901,8-Jun-01,,Operational,,International Telecommunications Satellite Organization (INTELSAT)
26853,2001-025A,ASTRA 2C,,15-Jun-01,,Operational,,SES
26880,2001-033A,USA 159,DSP 21,5-Aug-01,,Operational,,United States
26900,2001-039A,INTELSAT 902,IS-902,29-Aug-01,,Operational,,International Telecommunications Satellite Organization (INTELSAT)
